ts,hour_utc,coin,spread,cost54,cost109
1789286174,7,HYPE,0.000089,0.000045,0.000122
1789286174,7,ZEC,0.000097,0.000049,0.000049
1789286174,7,AAVE,0.001108,0.000554,0.000554
1789286174,7,TAO,0.000424,0.000599,0.000618
1789286174,7,NEAR,0.000435,0.000467,0.000560
1789286174,7,BILL,0.005354,0.003330,0.003386
1789286785,8,BTC,0.000001,0.000001,0.000001
1789286785,8,ETH,0.000004,0.000002,0.000002
1789286785,8,SOL,0.000099,0.000050,0.000050
1789286785,8,ADA,0.000971,0.000486,0.000486
1789286785,8,LINK,0.000263,0.000131,0.000131
1789286785,8,AVAX,0.000407,0.000204,0.000248
1789286785,8,XRP,0.000074,0.000037,0.000037
1789286785,8,DOT,0.000396,0.000341,0.000501
1789286785,8,XLM,0.001560,0.000817,0.000827
1789286785,8,SUI,0.000279,0.000140,0.000140
1789286785,8,HYPE,0.000013,0.000006,0.000024
1789286785,8,ZEC,0.000318,0.000187,0.000258
1789286785,8,AAVE,0.000948,0.000535,0.000544
1789286785,8,TAO,0.000423,0.000211,0.000211
1789286785,8,NEAR,0.000869,0.000435,0.000435
1789286785,8,BILL,0.003812,0.002557,0.002614
1789287398,8,BTC,0.000001,0.000001,0.000001
1789287398,8,ETH,0.000004,0.000002,0.000002
1789287398,8,SOL,0.000199,0.000099,0.000099
1789287398,8,ADA,0.000486,0.000544,0.000638
1789287398,8,LINK,0.000263,0.000201,0.000210
1789287398,8,AVAX,0.000136,0.000266,0.000330
1789287398,8,XRP,0.000074,0.000037,0.000037
1789287398,8,DOT,0.000396,0.000401,0.000614
1789287398,8,XLM,0.001117,0.000596,0.000605
1789287398,8,SUI,0.000419,0.000241,0.000366
1789287398,8,HYPE,0.000281,0.000140,0.000140
1789287398,8,ZEC,0.000514,0.000264,0.000283
1789287398,8,AAVE,0.000712,0.000417,0.000426
1789287398,8,TAO,0.000848,0.000424,0.000424
1789287398,8,NEAR,0.000434,0.000217,0.000217
1789287398,8,BILL,0.006098,0.003699,0.003756
1789288009,8,BTC,0.000001,0.000001,0.000001
1789288009,8,ETH,0.000004,0.000002,0.000002
1789288009,8,SOL,0.000100,0.000050,0.000050
1789288009,8,ADA,0.000487,0.000243,0.000243
1789288009,8,LINK,0.000176,0.000157,0.000166
1789288009,8,AVAX,0.000545,0.000390,0.000400
1789288009,8,XRP,0.000074,0.000037,0.000037
1789288009,8,DOT,0.000496,0.000388,0.000616
1789288009,8,XLM,0.001567,0.000821,0.000830
1789288009,8,SUI,0.000560,0.000280,0.000280
1789288009,8,HYPE,0.000179,0.000094,0.000111
1789288009,8,ZEC,0.000027,0.000013,0.000013
1789288009,8,AAVE,0.001031,0.000637,0.000656
1789288009,8,TAO,0.000852,0.000426,0.000426
1789288009,8,NEAR,0.000867,0.000434,0.000434
1789288009,8,BILL,0.005341,0.003304,0.003369
1789288620,8,BTC,0.000001,0.000001,0.000001
1789288620,8,ETH,0.000004,0.000002,0.000003
1789288620,8,SOL,0.000100,0.000050,0.000050
1789288620,8,ADA,0.000490,0.000245,0.000245
1789288620,8,LINK,0.000441,0.000290,0.000299
1789288620,8,AVAX,0.000137,0.000305,0.000360
1789288620,8,XRP,0.000148,0.000074,0.000074
1789288620,8,DOT,0.001094,0.000762,0.000854
1789288620,8,XLM,0.003091,0.001583,0.001592
1789288620,8,SUI,0.000422,0.000211,0.000211
1789288620,8,HYPE,0.000154,0.000077,0.000077
1789288620,8,ZEC,0.000340,0.000268,0.000369
1789288620,8,AAVE,0.000803,0.000700,0.000954
1789288620,8,TAO,0.000859,0.000430,0.000430
1789288620,8,NEAR,0.000435,0.000217,0.000217
1789288620,8,BILL,0.006889,0.004715,0.004846
1789289231,8,BTC,0.000001,0.000001,0.000001
1789289231,8,ETH,0.000060,0.000030,0.000030
1789289231,8,SOL,0.000100,0.000050,0.000050
1789289231,8,ADA,0.000982,0.000491,0.000491
1789289231,8,LINK,0.000265,0.000203,0.000212
1789289231,8,AVAX,0.000549,0.000274,0.000320
1789289231,8,XRP,0.000149,0.000074,0.000074
1789289231,8,DOT,0.000100,0.000830,0.000925
1789289231,8,XLM,0.001631,0.000853,0.000862
1789289231,8,SUI,0.000423,0.000212,0.000212
1789289231,8,HYPE,0.000013,0.000006,0.000007
1789289231,8,ZEC,0.000235,0.000117,0.000117
1789289231,8,AAVE,0.002092,0.001108,0.001117
1789289231,8,TAO,0.000430,0.000215,0.000215
1789289231,8,NEAR,0.000870,0.000435,0.000435
1789289231,8,BILL,0.004601,0.002937,0.003003
1789289844,8,BTC,0.000001,0.000001,0.000001
1789289844,8,ETH,0.000004,0.000011,0.000045
1789289844,8,SOL,0.000100,0.000050,0.000050
1789289844,8,ADA,0.000983,0.000491,0.000491
1789289844,8,LINK,0.000265,0.000203,0.000212
1789289844,8,AVAX,0.000411,0.000206,0.000206
1789289844,8,XRP,0.000148,0.000074,0.000074
1789289844,8,DOT,0.000598,0.000330,0.000492
1789289844,8,XLM,0.002699,0.001387,0.001397
1789289844,8,SUI,0.000423,0.000240,0.000297
1789289844,8,HYPE,0.000154,0.000077,0.000077
1789289844,8,ZEC,0.000108,0.000054,0.000054
1789289844,8,AAVE,0.001125,0.000686,0.000705
1789289844,8,TAO,0.000431,0.000215,0.000215
1789289844,8,NEAR,0.000869,0.000435,0.000435
1789289844,8,BILL,0.004601,0.002956,0.003012
1789290456,9,BTC,0.000001,0.000001,0.000001
