symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
ZECUSDT,14054,14099,1784150100,1784191500,LONG,SL,577.076782,585.78801111,625.70005553,559.17998149,-1.8953654582586634,-1.9759771829182688,0.0806117246596054,16,2.01,59.04,0.19348054679284604,0.007629902586498136,0.9401808290171144,base,adaptive disabled,1.15,81.1,90,83,70,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 2.0x | FVG | LiqSweep | MACD_Div | ChoCH | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | LiqSweep+1 | MACD_Div+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15,0,1,0.575,bear,1.7784,0.4377,2.992,-0.0037,1.648,1.0,0.0438,1.25,14053,1,1,0.153,2.718,0,0.87,8
ADAUSDT,14065,14096,1784160000,1784188800,LONG,SL,0.16476168,0.1681,0.1694,0.16204759,-0.8003400771529322,-0.8686343820580753,0.0682943049051431,14,1.52,56.51,0.2631578947368406,0.0040397944537901645,0.8281578635319631,base,adaptive disabled,1.15,76.7,90,91,50,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 1.5x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15,0,0,0.35,range,1.4597,0.4908,0.0,0.0166,1.427,1.0,0.0795,0.5625,14060,9,2,0.266,0.266,1,1.196,1
BILLUSDT,6794,6798,1784168100,1784172600,SHORT,TRAIL,0.031849775999999996,0.03124968,0.0285684,0.0330372,0.31159538004892445,0.2738761260166666,0.03771925403225786,13,1.33,28.6,0.6563380281690142,0.026242687800777525,1.2783937951868207,base,adaptive disabled,1.15,78.5,90,100,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.3x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,0.6,bear,0.4802,1.816,0.0,-0.0458,1.875,1.0,-0.37,0.703125,6794,0,4,1.962,-1.0,0,0.87,0
SOLUSDT,14096,14137,1784187900,1784225700,SHORT,TRAIL,76.24189799999999,75.53040557,72.01202786,77.87599071,0.8015461303724247,0.6440786842628345,0.15746744610959024,16,2.12,34.04,0.49700598802394214,0.006149580890272409,2.055296882764552,base,adaptive disabled,1.15,76.2,55,90,90,80,LONDON,bearish,neutral,FVG,BOS bearish | Vol 2.1x | FVG | LiqSweep | ChoCH | Engulfing | Session:LONDON | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:LONDON | QualityRisk:1.15,0,0,0.525,range,0.3721,1.2817,0.0,-0.0064,2.247,1.0,-0.2582,1.6875,14096,0,1,0.524,1.119,1,2.553,0
TAOUSDT,14098,14134,1784189700,1784223000,SHORT,TRAIL,196.66638,193.22579063,177.72895314,203.55701562,1.2315960156946129,1.1174315810353903,0.11416443465922262,14,3.56,32.91,0.5342465753424637,0.008970619417046454,2.005431807456321,base,adaptive disabled,1.0,78.0,60,90,90,80,LONDON,neutral,bearish,FVG,BOS bearish | Vol 3.6x | FVG | ChoCH | Session:LONDON | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON,0,0,0.625,bear,0.179,1.2981,4.333,-0.0642,2.426,1.0,-0.3426,2.0,14098,0,3,2.074,0.519,1,0.691,0
XLMUSDT,14113,14160,1784203200,1784246400,LONG,SL,0.190788814,0.19379549,0.20749743,0.18466086,-1.337888225009523,-1.4157236713917905,0.07783544638226735,17,2.71,60.2,0.30541012216405583,0.009573579109265248,1.701839162751176,base,adaptive disabled,1.0,89.7,90,96,90,80,OVERLAP,bullish,bullish,FVG,BOS bullish | Vol 2.7x | FVG | ChoCH | Session:OVERLAP | StrongTrend1h | Zone:FVG | MTF 17,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OVERLAP | Strong1h+1 | NestedOB_1h+2,0,0,0.525,bull,1.2629,0.6922,5.645,-0.0739,1.757,-1.0,-0.3902,1.25,14113,0,1,0.528,0.693,1,1.269,0
HYPEUSDT,14130,14134,1784218500,1784223000,SHORT,TRAIL,64.6165302,63.68758933,59.40194665,66.54468445,0.8221051492397788,0.7844040179765515,0.0377011312632274,15,1.39,35.32,0.25635393787260546,0.008187595333409016,1.9422272009273325,base,adaptive disabled,1.25,80.5,90,80,70,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 1.4x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,0.4,range,0.0977,2.1579,3.583,-0.0916,1.573,1.0,-0.2383,0.5625,14130,0,1,1.294,4.3,0,1.7,0
DOTUSDT,14146,14151,1784232900,1784238300,LONG,TRAIL,0.85507704,0.86387006,0.9065503,0.83541657,0.5072476076274175,0.4583188856792645,0.04892872194815298,16,1.61,58.77,0.2753623188405794,0.005341736033729414,1.1743384955557437,base,adaptive disabled,1.15,80.1,90,93,60,80,DEAD_ZONE,bullish,bullish,OB,BOS bullish | Vol 1.6x | FVG | OB | ChoCH | StrongTrend1h | Zone:OB | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:DEAD_ZONE | Strong1h+1 | NestedOB_1h+2 | QualityRisk:1.15,0,1,0.625,bear,0.1921,1.2763,1.676,-0.1803,1.235,1.0,0.1267,0.5625,14145,4,1,0.192,0.918,1,0.342,0
ADAUSDT,14159,14184,1784244600,1784268000,SHORT,TRAIL,0.16054601999999998,0.15886756,0.15073779,0.1642874,0.44055347964748903,0.3922787060345443,0.048274773612944744,17,2.07,34.88,0.43589743589743296,0.006211475416965824,1.426864639527547,base,adaptive disabled,1.15,84.5,90,100,70,80,DEAD_ZONE,bearish,bearish,FVG,BOS bearish | Vol 2.1x | FVG | LiqSweep | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | TrendPairRisk:1.15,0,0,0.475,range,0.3084,1.2786,0.0,-0.0673,2.33,-1.0,0.0753,0.5625,14157,0,1,0.889,3.556,0,0.889,0
SOLUSDT,14161,14172,1784246400,1784257200,SHORT,TRAIL,75.214164,74.81741426,72.56707129,76.3176429,0.16004073617040335,0.10252993929426908,0.05751079687613425,15,4.18,31.5,0.4666666666666653,0.005006615663179553,1.4571177201280383,base,adaptive disabled,1.25,90.5,90,100,90,80,DEAD_ZONE,bearish,bearish,FVG,BOS bearish | Vol 4.2x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,1,0.5,bull,0.4493,1.2959,10.0,-0.1223,2.76,1.0,-0.2729,0.421875,14158,1,4,1.909,0.252,1,0.792,1
BILLUSDT,6883,6888,1784248200,1784253600,SHORT,TRAIL,0.027020424,0.02651132,0.0242366,0.0280278,0.7476963799088849,0.7099771258766266,0.03771925403225817,14,1.43,31.39,0.35885167464114837,0.017943739837119048,1.1058804916884795,base,adaptive disabled,1.25,78.5,90,100,50,80,DEAD_ZONE,bearish,bearish,FVG,BOS bearish | Vol 1.4x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,0.6,range,0.2775,2.299,0.721,-0.1405,1.877,1.0,-0.3324,0.703125,6878,1,4,1.415,-1.0,0,1.262,1
TAOUSDT,14163,14170,1784248200,1784255400,SHORT,TRAIL,191.67738,189.63653736,179.78268681,196.20577106,0.19490540795572492,0.13538176875284197,0.059523639202882936,14,4.35,31.79,0.5199999999999959,0.008356760810365144,1.6262256536978927,base,adaptive disabled,1.15,84.5,90,100,70,80,DEAD_ZONE,bearish,bearish,FVG,BOS bearish | Vol 4.3x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | TrendPairRisk:1.15,0,0,0.5,range,0.2037,1.1159,10.0,0.0049,2.188,1.0,-0.4426,0.703125,14158,1,2,1.266,-1.0,0,0.633,0
